experimento,populacao,geracoes,taxa_mutacao,melhor_fitness,recall,f1,accuracy
Exp1_populacao_pequena,10,10,0.05,0.9383481820821975,0.9411764705882353,0.927536231884058,0.945054945054945
Exp2_populacao_media,20,12,0.2,0.9383481820821975,0.9411764705882353,0.927536231884058,0.945054945054945
Exp3_populacao_grande_mutacao_alta,30,15,0.4,0.9383481820821975,0.9411764705882353,0.927536231884058,0.945054945054945
