modelo,recall_original,recall_otimizado,f1_original,f1_otimizado,accuracy_original,accuracy_otimizado,ganho_recall
decision_tree,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.927536231884058,0.9120879120879121,0.945054945054945,0.05882352941176472
gradient_boosting,0.9117647058823529,0.9705882352941176,0.9393939393939394,0.9705882352941176,0.9560439560439561,0.978021978021978,0.05882352941176472
knn,0.9411764705882353,0.9705882352941176,0.9552238805970149,0.9565217391304348,0.967032967032967,0.967032967032967,0.02941176470588236
random_forest,0.9411764705882353,0.9411764705882353,0.9552238805970149,0.9552238805970149,0.967032967032967,0.967032967032967,0.0
logistic_regression,0.9705882352941176,0.9705882352941176,0.9565217391304348,0.9565217391304348,0.967032967032967,0.967032967032967,0.0
svm,0.9705882352941176,0.9705882352941176,0.9850746268656716,0.9850746268656716,0.989010989010989,0.989010989010989,0.0
extra_trees,0.9411764705882353,0.9411764705882353,0.9552238805970149,0.9696969696969697,0.967032967032967,0.978021978021978,0.0
mlp,0.9705882352941176,0.9705882352941176,0.9565217391304348,0.9850746268656716,0.967032967032967,0.989010989010989,0.0
